,name,log_revenue
10752,War,16.136653194238505
10402,Music,15.67648499076066
35,Comedy,16.086749079995876
99,Documentary,12.532945130895138
37,Western,15.344658647008904
36,History,16.133612561134928
12,Adventure,17.576902272998787
878,Science Fiction,16.902018543992522
14,Fantasy,17.265236336319994
16,Animation,17.1316216395014
80,Crime,16.28921137388617
18,Drama,15.565119161586344
9648,Mystery,16.386773697929083
10769,Foreign,10.934655502729136
53,Thriller,16.28132504652562
10770,TV Movie,17.553180176247643
27,Horror,16.084548945189756
28,Action,16.852456260697842
10749,Romance,15.765643862191856
10751,Family,17.30978058785003
